epoch,model,param_count,time,layers,optimizer,loss,beta_1,epsilon,beta_2,lr,decay,acc,loss,val_acc,val_loss
0,vgg2_6,5625994,26 Nov 2016 23:34:36,"[<keras.layers.convolutional.ZeroPadding2D object at 0x7fc153265750>, <keras.layers.convolutional.Convolution2D object at 0x7fc153265b90>, <keras.layers.core.Activation object at 0x7fc146278f90>, <keras.layers.pooling.MaxPooling2D object at 0x7fc146278650>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc146278690>, <keras.layers.convolutional.Convolution2D object at 0x7fc146278d10>, <keras.layers.core.Activation object at 0x7fc1507c0550>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507c0fd0>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc1507c0b50>, <keras.layers.convolutional.Convolution2D object at 0x7fc1507b2fd0>, <keras.layers.core.Activation object at 0x7fc1507d1ed0>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507d1d90>, <keras.layers.core.Flatten object at 0x7fc1507d1b90>, <keras.layers.core.Dense object at 0x7fc15077d610>, <keras.layers.core.Dropout object at 0x7fc150726810>, <keras.layers.core.Dense object at 0x7fc1506f1ed0>, <keras.layers.core.Dropout object at 0x7fc15070ae90>, <keras.layers.core.Dense object at 0x7fc1506f1290>]",<keras.optimizers.Adam object at 0x7fc150683f10>,1.7669250741195679,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.33563999999999999,1.7669250741195679,0.48870000000000002,1.3808977524757384
1,vgg2_6,5625994,26 Nov 2016 23:35:21,"[<keras.layers.convolutional.ZeroPadding2D object at 0x7fc153265750>, <keras.layers.convolutional.Convolution2D object at 0x7fc153265b90>, <keras.layers.core.Activation object at 0x7fc146278f90>, <keras.layers.pooling.MaxPooling2D object at 0x7fc146278650>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc146278690>, <keras.layers.convolutional.Convolution2D object at 0x7fc146278d10>, <keras.layers.core.Activation object at 0x7fc1507c0550>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507c0fd0>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc1507c0b50>, <keras.layers.convolutional.Convolution2D object at 0x7fc1507b2fd0>, <keras.layers.core.Activation object at 0x7fc1507d1ed0>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507d1d90>, <keras.layers.core.Flatten object at 0x7fc1507d1b90>, <keras.layers.core.Dense object at 0x7fc15077d610>, <keras.layers.core.Dropout object at 0x7fc150726810>, <keras.layers.core.Dense object at 0x7fc1506f1ed0>, <keras.layers.core.Dropout object at 0x7fc15070ae90>, <keras.layers.core.Dense object at 0x7fc1506f1290>]",<keras.optimizers.Adam object at 0x7fc150683f10>,1.3520875100708007,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.51558000000000004,1.3520875100708007,0.58999999999999997,1.1505574909210206
2,vgg2_6,5625994,26 Nov 2016 23:36:06,"[<keras.layers.convolutional.ZeroPadding2D object at 0x7fc153265750>, <keras.layers.convolutional.Convolution2D object at 0x7fc153265b90>, <keras.layers.core.Activation object at 0x7fc146278f90>, <keras.layers.pooling.MaxPooling2D object at 0x7fc146278650>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc146278690>, <keras.layers.convolutional.Convolution2D object at 0x7fc146278d10>, <keras.layers.core.Activation object at 0x7fc1507c0550>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507c0fd0>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc1507c0b50>, <keras.layers.convolutional.Convolution2D object at 0x7fc1507b2fd0>, <keras.layers.core.Activation object at 0x7fc1507d1ed0>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507d1d90>, <keras.layers.core.Flatten object at 0x7fc1507d1b90>, <keras.layers.core.Dense object at 0x7fc15077d610>, <keras.layers.core.Dropout object at 0x7fc150726810>, <keras.layers.core.Dense object at 0x7fc1506f1ed0>, <keras.layers.core.Dropout object at 0x7fc15070ae90>, <keras.layers.core.Dense object at 0x7fc1506f1290>]",<keras.optimizers.Adam object at 0x7fc150683f10>,1.1951477006149291,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.57845999999999997,1.1951477006149291,0.63500000000000001,1.0480036162853241
3,vgg2_6,5625994,26 Nov 2016 23:36:52,"[<keras.layers.convolutional.ZeroPadding2D object at 0x7fc153265750>, <keras.layers.convolutional.Convolution2D object at 0x7fc153265b90>, <keras.layers.core.Activation object at 0x7fc146278f90>, <keras.layers.pooling.MaxPooling2D object at 0x7fc146278650>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc146278690>, <keras.layers.convolutional.Convolution2D object at 0x7fc146278d10>, <keras.layers.core.Activation object at 0x7fc1507c0550>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507c0fd0>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc1507c0b50>, <keras.layers.convolutional.Convolution2D object at 0x7fc1507b2fd0>, <keras.layers.core.Activation object at 0x7fc1507d1ed0>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507d1d90>, <keras.layers.core.Flatten object at 0x7fc1507d1b90>, <keras.layers.core.Dense object at 0x7fc15077d610>, <keras.layers.core.Dropout object at 0x7fc150726810>, <keras.layers.core.Dense object at 0x7fc1506f1ed0>, <keras.layers.core.Dropout object at 0x7fc15070ae90>, <keras.layers.core.Dense object at 0x7fc1506f1290>]",<keras.optimizers.Adam object at 0x7fc150683f10>,1.0922208623504639,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.61702000000000001,1.0922208623504639,0.66010000000000002,0.97644441719055175
4,vgg2_6,5625994,26 Nov 2016 23:37:37,"[<keras.layers.convolutional.ZeroPadding2D object at 0x7fc153265750>, <keras.layers.convolutional.Convolution2D object at 0x7fc153265b90>, <keras.layers.core.Activation object at 0x7fc146278f90>, <keras.layers.pooling.MaxPooling2D object at 0x7fc146278650>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc146278690>, <keras.layers.convolutional.Convolution2D object at 0x7fc146278d10>, <keras.layers.core.Activation object at 0x7fc1507c0550>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507c0fd0>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc1507c0b50>, <keras.layers.convolutional.Convolution2D object at 0x7fc1507b2fd0>, <keras.layers.core.Activation object at 0x7fc1507d1ed0>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507d1d90>, <keras.layers.core.Flatten object at 0x7fc1507d1b90>, <keras.layers.core.Dense object at 0x7fc15077d610>, <keras.layers.core.Dropout object at 0x7fc150726810>, <keras.layers.core.Dense object at 0x7fc1506f1ed0>, <keras.layers.core.Dropout object at 0x7fc15070ae90>, <keras.layers.core.Dense object at 0x7fc1506f1290>]",<keras.optimizers.Adam object at 0x7fc150683f10>,1.0293838397216797,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.64083999999999997,1.0293838397216797,0.65769999999999995,0.97489370636939998
5,vgg2_6,5625994,26 Nov 2016 23:38:22,"[<keras.layers.convolutional.ZeroPadding2D object at 0x7fc153265750>, <keras.layers.convolutional.Convolution2D object at 0x7fc153265b90>, <keras.layers.core.Activation object at 0x7fc146278f90>, <keras.layers.pooling.MaxPooling2D object at 0x7fc146278650>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc146278690>, <keras.layers.convolutional.Convolution2D object at 0x7fc146278d10>, <keras.layers.core.Activation object at 0x7fc1507c0550>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507c0fd0>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc1507c0b50>, <keras.layers.convolutional.Convolution2D object at 0x7fc1507b2fd0>, <keras.layers.core.Activation object at 0x7fc1507d1ed0>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507d1d90>, <keras.layers.core.Flatten object at 0x7fc1507d1b90>, <keras.layers.core.Dense object at 0x7fc15077d610>, <keras.layers.core.Dropout object at 0x7fc150726810>, <keras.layers.core.Dense object at 0x7fc1506f1ed0>, <keras.layers.core.Dropout object at 0x7fc15070ae90>, <keras.layers.core.Dense object at 0x7fc1506f1290>]",<keras.optimizers.Adam object at 0x7fc150683f10>,0.98433315032958979,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.65668000000000004,0.98433315032958979,0.68600000000000005,0.90289638748168943
6,vgg2_6,5625994,26 Nov 2016 23:39:07,"[<keras.layers.convolutional.ZeroPadding2D object at 0x7fc153265750>, <keras.layers.convolutional.Convolution2D object at 0x7fc153265b90>, <keras.layers.core.Activation object at 0x7fc146278f90>, <keras.layers.pooling.MaxPooling2D object at 0x7fc146278650>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc146278690>, <keras.layers.convolutional.Convolution2D object at 0x7fc146278d10>, <keras.layers.core.Activation object at 0x7fc1507c0550>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507c0fd0>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc1507c0b50>, <keras.layers.convolutional.Convolution2D object at 0x7fc1507b2fd0>, <keras.layers.core.Activation object at 0x7fc1507d1ed0>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507d1d90>, <keras.layers.core.Flatten object at 0x7fc1507d1b90>, <keras.layers.core.Dense object at 0x7fc15077d610>, <keras.layers.core.Dropout object at 0x7fc150726810>, <keras.layers.core.Dense object at 0x7fc1506f1ed0>, <keras.layers.core.Dropout object at 0x7fc15070ae90>, <keras.layers.core.Dense object at 0x7fc1506f1290>]",<keras.optimizers.Adam object at 0x7fc150683f10>,0.94832124774932858,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.66801999999999995,0.94832124774932858,0.69540000000000002,0.87944496750831602
7,vgg2_6,5625994,26 Nov 2016 23:39:52,"[<keras.layers.convolutional.ZeroPadding2D object at 0x7fc153265750>, <keras.layers.convolutional.Convolution2D object at 0x7fc153265b90>, <keras.layers.core.Activation object at 0x7fc146278f90>, <keras.layers.pooling.MaxPooling2D object at 0x7fc146278650>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc146278690>, <keras.layers.convolutional.Convolution2D object at 0x7fc146278d10>, <keras.layers.core.Activation object at 0x7fc1507c0550>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507c0fd0>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc1507c0b50>, <keras.layers.convolutional.Convolution2D object at 0x7fc1507b2fd0>, <keras.layers.core.Activation object at 0x7fc1507d1ed0>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507d1d90>, <keras.layers.core.Flatten object at 0x7fc1507d1b90>, <keras.layers.core.Dense object at 0x7fc15077d610>, <keras.layers.core.Dropout object at 0x7fc150726810>, <keras.layers.core.Dense object at 0x7fc1506f1ed0>, <keras.layers.core.Dropout object at 0x7fc15070ae90>, <keras.layers.core.Dense object at 0x7fc1506f1290>]",<keras.optimizers.Adam object at 0x7fc150683f10>,0.91756312442779542,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.67842000000000002,0.91756312442779542,0.69179999999999997,0.88696819200515742
8,vgg2_6,5625994,26 Nov 2016 23:40:37,"[<keras.layers.convolutional.ZeroPadding2D object at 0x7fc153265750>, <keras.layers.convolutional.Convolution2D object at 0x7fc153265b90>, <keras.layers.core.Activation object at 0x7fc146278f90>, <keras.layers.pooling.MaxPooling2D object at 0x7fc146278650>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc146278690>, <keras.layers.convolutional.Convolution2D object at 0x7fc146278d10>, <keras.layers.core.Activation object at 0x7fc1507c0550>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507c0fd0>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc1507c0b50>, <keras.layers.convolutional.Convolution2D object at 0x7fc1507b2fd0>, <keras.layers.core.Activation object at 0x7fc1507d1ed0>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507d1d90>, <keras.layers.core.Flatten object at 0x7fc1507d1b90>, <keras.layers.core.Dense object at 0x7fc15077d610>, <keras.layers.core.Dropout object at 0x7fc150726810>, <keras.layers.core.Dense object at 0x7fc1506f1ed0>, <keras.layers.core.Dropout object at 0x7fc15070ae90>, <keras.layers.core.Dense object at 0x7fc1506f1290>]",<keras.optimizers.Adam object at 0x7fc150683f10>,0.88988382221221929,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.68891999999999998,0.88988382221221929,0.7036,0.84529435195922853
9,vgg2_6,5625994,26 Nov 2016 23:41:23,"[<keras.layers.convolutional.ZeroPadding2D object at 0x7fc153265750>, <keras.layers.convolutional.Convolution2D object at 0x7fc153265b90>, <keras.layers.core.Activation object at 0x7fc146278f90>, <keras.layers.pooling.MaxPooling2D object at 0x7fc146278650>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc146278690>, <keras.layers.convolutional.Convolution2D object at 0x7fc146278d10>, <keras.layers.core.Activation object at 0x7fc1507c0550>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507c0fd0>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc1507c0b50>, <keras.layers.convolutional.Convolution2D object at 0x7fc1507b2fd0>, <keras.layers.core.Activation object at 0x7fc1507d1ed0>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507d1d90>, <keras.layers.core.Flatten object at 0x7fc1507d1b90>, <keras.layers.core.Dense object at 0x7fc15077d610>, <keras.layers.core.Dropout object at 0x7fc150726810>, <keras.layers.core.Dense object at 0x7fc1506f1ed0>, <keras.layers.core.Dropout object at 0x7fc15070ae90>, <keras.layers.core.Dense object at 0x7fc1506f1290>]",<keras.optimizers.Adam object at 0x7fc150683f10>,0.87215328054428098,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.69608000000000003,0.87215328054428098,0.69950000000000001,0.86481923270225525
10,vgg2_6,5625994,26 Nov 2016 23:42:08,"[<keras.layers.convolutional.ZeroPadding2D object at 0x7fc153265750>, <keras.layers.convolutional.Convolution2D object at 0x7fc153265b90>, <keras.layers.core.Activation object at 0x7fc146278f90>, <keras.layers.pooling.MaxPooling2D object at 0x7fc146278650>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc146278690>, <keras.layers.convolutional.Convolution2D object at 0x7fc146278d10>, <keras.layers.core.Activation object at 0x7fc1507c0550>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507c0fd0>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc1507c0b50>, <keras.layers.convolutional.Convolution2D object at 0x7fc1507b2fd0>, <keras.layers.core.Activation object at 0x7fc1507d1ed0>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507d1d90>, <keras.layers.core.Flatten object at 0x7fc1507d1b90>, <keras.layers.core.Dense object at 0x7fc15077d610>, <keras.layers.core.Dropout object at 0x7fc150726810>, <keras.layers.core.Dense object at 0x7fc1506f1ed0>, <keras.layers.core.Dropout object at 0x7fc15070ae90>, <keras.layers.core.Dense object at 0x7fc1506f1290>]",<keras.optimizers.Adam object at 0x7fc150683f10>,0.85807483760833736,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.70321999999999996,0.85807483760833736,0.71130000000000004,0.82420576937198642
11,vgg2_6,5625994,26 Nov 2016 23:42:53,"[<keras.layers.convolutional.ZeroPadding2D object at 0x7fc153265750>, <keras.layers.convolutional.Convolution2D object at 0x7fc153265b90>, <keras.layers.core.Activation object at 0x7fc146278f90>, <keras.layers.pooling.MaxPooling2D object at 0x7fc146278650>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc146278690>, <keras.layers.convolutional.Convolution2D object at 0x7fc146278d10>, <keras.layers.core.Activation object at 0x7fc1507c0550>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507c0fd0>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc1507c0b50>, <keras.layers.convolutional.Convolution2D object at 0x7fc1507b2fd0>, <keras.layers.core.Activation object at 0x7fc1507d1ed0>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507d1d90>, <keras.layers.core.Flatten object at 0x7fc1507d1b90>, <keras.layers.core.Dense object at 0x7fc15077d610>, <keras.layers.core.Dropout object at 0x7fc150726810>, <keras.layers.core.Dense object at 0x7fc1506f1ed0>, <keras.layers.core.Dropout object at 0x7fc15070ae90>, <keras.layers.core.Dense object at 0x7fc1506f1290>]",<keras.optimizers.Adam object at 0x7fc150683f10>,0.83203671733856199,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.7087,0.83203671733856199,0.70850000000000002,0.84854392662048339
12,vgg2_6,5625994,26 Nov 2016 23:43:38,"[<keras.layers.convolutional.ZeroPadding2D object at 0x7fc153265750>, <keras.layers.convolutional.Convolution2D object at 0x7fc153265b90>, <keras.layers.core.Activation object at 0x7fc146278f90>, <keras.layers.pooling.MaxPooling2D object at 0x7fc146278650>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc146278690>, <keras.layers.convolutional.Convolution2D object at 0x7fc146278d10>, <keras.layers.core.Activation object at 0x7fc1507c0550>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507c0fd0>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc1507c0b50>, <keras.layers.convolutional.Convolution2D object at 0x7fc1507b2fd0>, <keras.layers.core.Activation object at 0x7fc1507d1ed0>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507d1d90>, <keras.layers.core.Flatten object at 0x7fc1507d1b90>, <keras.layers.core.Dense object at 0x7fc15077d610>, <keras.layers.core.Dropout object at 0x7fc150726810>, <keras.layers.core.Dense object at 0x7fc1506f1ed0>, <keras.layers.core.Dropout object at 0x7fc15070ae90>, <keras.layers.core.Dense object at 0x7fc1506f1290>]",<keras.optimizers.Adam object at 0x7fc150683f10>,0.82392407463073736,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.71492,0.82392407463073736,0.72450000000000003,0.79656181495189671
13,vgg2_6,5625994,26 Nov 2016 23:44:23,"[<keras.layers.convolutional.ZeroPadding2D object at 0x7fc153265750>, <keras.layers.convolutional.Convolution2D object at 0x7fc153265b90>, <keras.layers.core.Activation object at 0x7fc146278f90>, <keras.layers.pooling.MaxPooling2D object at 0x7fc146278650>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc146278690>, <keras.layers.convolutional.Convolution2D object at 0x7fc146278d10>, <keras.layers.core.Activation object at 0x7fc1507c0550>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507c0fd0>, <keras.layers.convolutional.ZeroPadding2D object at 0x7fc1507c0b50>, <keras.layers.convolutional.Convolution2D object at 0x7fc1507b2fd0>, <keras.layers.core.Activation object at 0x7fc1507d1ed0>, <keras.layers.pooling.MaxPooling2D object at 0x7fc1507d1d90>, <keras.layers.core.Flatten object at 0x7fc1507d1b90>, <keras.layers.core.Dense object at 0x7fc15077d610>, <keras.layers.core.Dropout object at 0x7fc150726810>, <keras.layers.core.Dense object at 0x7fc1506f1ed0>, <keras.layers.core.Dropout object at 0x7fc15070ae90>, <keras.layers.core.Dense object at 0x7fc1506f1290>]",<keras.optimizers.Adam object at 0x7fc150683f10>,0.80435284505844118,0.8999999761581421,1e-08,0.9990000128746033,0.0010000000474974513,0.0,0.72075999999999996,0.80435284505844118,0.7157,0.82862286095619198
